MsgID.LOCAL_VELOCITY,1530000759.6237581,-0.0100000,0.0100000,0.1200000
MsgID.LOCAL_POSITION,1530000759.6237581,471.1026001,-398.5446777,-0.1115780
MsgID.LOCAL_VELOCITY,1530000759.6237581,-0.0106553,0.0106961,0.1285462
MsgID.GLOBAL_POSITION,1530000759.6237581,-122.4019352,37.7967184,0.1440000
MsgID.LOCAL_VELOCITY,1530000759.6237581,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6237581,470.8889771,-398.3965759,-0.1440586
MsgID.LOCAL_VELOCITY,1530000759.6237581,0.0000017,0.0000214,0.0000199
MsgID.STATE,1530000759.6247370,True,True
MsgID.GLOBAL_HOME,1530000759.6247370,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1530000759.6247370,-122.4019347,37.7967181,0.1780000
MsgID.LOCAL_VELOCITY,1530000759.6247370,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6247370,470.8582764,-398.3511047,-0.1782310
MsgID.LOCAL_VELOCITY,1530000759.6247370,-0.0000078,0.0000130,0.0000165
MsgID.GLOBAL_POSITION,1530000759.6247370,-122.4019374,37.7967177,0.2070000
MsgID.LOCAL_VELOCITY,1530000759.6247370,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6247370,470.8093872,-398.5877075,-0.2078040
MsgID.LOCAL_VELOCITY,1530000759.6247370,-0.0000005,0.0000289,0.0000174
MsgID.GLOBAL_POSITION,1530000759.6257346,-122.4019352,37.7967178,0.2270000
MsgID.LOCAL_VELOCITY,1530000759.6257346,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6257346,470.8212891,-398.3958130,-0.2279249
MsgID.LOCAL_VELOCITY,1530000759.6257346,-0.0000034,0.0000302,0.0000136
MsgID.GLOBAL_POSITION,1530000759.6257346,-122.4019345,37.7967188,0.2340000
MsgID.LOCAL_VELOCITY,1530000759.6257346,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1530000759.6257346,470.9295349,-398.3311462,-0.2345988
MsgID.LOCAL_VELOCITY,1530000759.6257346,-0.0000008,0.0000409,0.0000187
MsgID.STATE,1530000759.6257346,True,True
MsgID.GLOBAL_HOME,1530000759.6257346,-122.3974533,37.7924804,0.0000000
